Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1648754,5-Jan-15,13-Nov-14,3112,1540167,0,494,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648754,SRX757881,3174304,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743028,SAMN03174304,simple,11676,Human immunodeficiency virus 1,5-301_SC,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,67BE0966A2584BA55DDD44DF2C52F843,2545C159B9AB9366FDD5EE513D4628F8
SRR1648755,5-Jan-15,13-Nov-14,3494,1726595,0,494,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648755,SRX757882,3174305,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743029,SAMN03174305,simple,11676,Human immunodeficiency virus 1,5-301_SC+1,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,1B563D1E528D3B0428F687DC12799638,0DAACA4FD5A30801772667BD2B58EE5B
SRR1648756,5-Jan-15,13-Nov-14,5288,2610619,0,493,1,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648756,SRX757883,3174306,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743030,SAMN03174306,simple,11676,Human immunodeficiency virus 1,5-311_SC,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,5A93FBFD2009982B8A87014FB9897F62,3A169CE99B8F15204EDAF905A4B6D167
SRR1648757,5-Jan-15,13-Nov-14,3553,1762082,0,495,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648757,SRX757884,3174307,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743031,SAMN03174307,simple,11676,Human immunodeficiency virus 1,5-311_SC+1,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,D28C45BD2A79FCD7A8FEBDB08BE840E2,45D4E38E7CCC52466219FF9087C1FAD6
SRR1648758,5-Jan-15,13-Nov-14,4931,2552504,0,517,1,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648758,SRX757885,3174308,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743032,SAMN03174308,simple,11676,Human immunodeficiency virus 1,5-315_SC,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,316A2DB42B2BE9EF85D09555F8857FC9,BD9B59E71744BBBB86A33E5A4F411893
SRR1648759,5-Jan-15,13-Nov-14,2924,1513062,0,517,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648759,SRX757886,3174309,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743033,SAMN03174309,simple,11676,Human immunodeficiency virus 1,5-315_SC+1,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,C2FCD4F042C07FC9D453E51C6EF3A026,58BC3C389E3B6EF50CB83093332AF981
SRR1648760,5-Jan-15,13-Nov-14,4896,2469030,0,504,1,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648760,SRX757887,3174310,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743034,SAMN03174310,simple,11676,Human immunodeficiency virus 1,5-319_SC,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,6DB1FC093EEE339ED5E492922FDE281E,024ED6C845ABE14AA1AB7A91A2CB803D
SRR1648761,5-Jan-15,13-Nov-14,3277,1654458,0,504,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648761,SRX757888,3174311,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743035,SAMN03174311,simple,11676,Human immunodeficiency virus 1,5-319_SC+1,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,188F997690F8067F811588A9FA093CC4,1821426F0117BE7C8F4E25D9D1E3FA07
SRR1648762,5-Jan-15,13-Nov-14,4687,2312872,0,493,1,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648762,SRX757889,3174312,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743036,SAMN03174312,simple,11676,Human immunodeficiency virus 1,5-323_SC,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,8BD557A0B7385A9E9B0BCEFD0EF26F11,B8B4947C74283CF1277A8A522D7BD29C
SRR1648763,5-Jan-15,13-Nov-14,3689,1825900,0,494,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648763,SRX757890,3174313,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743037,SAMN03174313,simple,11676,Human immunodeficiency virus 1,5-323_SC+1,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,3EA82ACE05595F2424F887A4C9708998,D301B1FE176D5D836144446BB3DDD474
SRR1648764,5-Jan-15,13-Nov-14,5301,2607956,0,491,1,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648764,SRX757891,3174314,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743038,SAMN03174314,simple,11676,Human immunodeficiency virus 1,5-327_SC,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,2D7F3385508715730EE4DDE2110FF420,0A4E6D26BDF267B4846EFF2ADA80DACD
SRR1648765,5-Jan-15,13-Nov-14,3366,1665763,0,494,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648765,SRX757892,3174315,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743043,SAMN03174315,simple,11676,Human immunodeficiency virus 1,5-327_SC+1,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,246258827731071AD03002559B7C9772,8DDF26B08E95E2DC9DFF07FEF8A387A4
SRR1648766,5-Jan-15,13-Nov-14,4811,2380411,0,494,1,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648766,SRX757893,3174316,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743039,SAMN03174316,simple,11676,Human immunodeficiency virus 1,5-331_SC,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,6F36257FD92B12591894900DAA461FB1,A7A66E36A402EA49D5D4AA197BAE522F
SRR1648767,5-Jan-15,13-Nov-14,3089,1535589,0,497,0,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1648767,SRX757894,3174317,AMPLICON,RT-PCR,VIRAL RNA,PAIRED,0,0,LS454,454 GS Junior,SRP049715,PRJNA266446,,266446,SRS743040,SAMN03174317,simple,11676,Human immunodeficiency virus 1,5-331_SC+1,,,,,,,no,,,,,FHCRC-GL,SRA198381,,public,D3FDF41AE9690FDEC9C240C6B667A977,37D857A5CE9B74F37873433D478D389A
